书名,作者,类型,进度,字数,积分,标签,时间,简介
殿下他是个娇气疯批,土垚,原创-言情-架空历史-剧情,连载,41064,3015872,"['异世大陆', '穿越时空', '系统', '市井生活', '成长']",2024-12-17,专栏预收：仙侠文《等雪融化成河》、《他不过是替身罢了》不知道要怎么介绍这两篇，我真的特别爱，求你们去看一眼文案！快去快去啊啊啊求收藏～本书文案：【白切黑皇子×娇俏少女】      文案一、柒如霜上街摆摊卖木雕遭人恶意找事。裴诀便是那时候出现，帮她怼回。少年身着暗红劲衣，眉眼如画，笑时梨涡显现，整个人如同凛冬欲融化的纯净皑雪，和煦惹眼。       柒如霜的心也跟着融化。他出手阔绰，说要十五件她的木雕。柒如霜说好，等我回家雕刻，过几日拿给你。便是这样，柒如霜入了裴诀的套。相识短短几日，便听到裴诀对她道：“我好生喜欢你。”柒如霜受惊，脑里的情绪交织在一起。仓皇之下，她跑了。自那之后，柒如霜许久未见裴诀，她心中有愧。终于在半月后见到他，同他说抱歉。再之后，二人如以往那样，她摆摊，他帮着卖。在柒如霜眼里，裴七性格温顺，单纯无害，她总觉得他出门会被骗。所以时常对他说：“跟我混准没错。”＊时日一久，柒如霜渐渐感觉裴七，并非看上去那般简单。      可她又找不出什么端倪。直至那日，她不慎冲撞相府千金。千金发怒，将她绑在马身上拖跑，体力散尽，摔破了脑袋，扭伤了脚。当天夜里，裴七携她来到丞相府，说要赠她惊喜。而他口中的惊喜，则是握着她的手，用刀划烂那相府千金的脸，挑出手筋，割下舌头。她扔掉刀，惊恐地望向他，身体不受控的发抖。裴诀掏出帕子，笑容与平素无异，一点一点擦拭她沾血的手指。      他说：“早晚都要习惯的。”那一瞬，柒如霜对眼前的裴七感到陌生，心生恐惧。相府千金遇害闹的满城皆知，柒如霜因此心惊胆战许久，然何事都没有。＊后来，她才知晓原因为何，那裴七乃当朝皇子，真名唤作裴诀。皇、子！裴诀啊，人畜无害，呵呵。真正的他，自幼嫉恶如仇心理扭曲，性格阴郁暴戾，病娇属性拉满。柒如霜被他骗入宫，养在殿内旁人看不得碰不得，他最喜惹她生气，哄好之后紧抱她入眠。柒如霜终究受不住，劝他：“殿下，强扭的瓜不甜。”裴诀神色忧郁，俊俏面庞划过几分难过，垂眸道：“你说过，蘸上酱就有味道了。”柒如霜：……死嘴，早时胡说八道，这下遭报应了。阅读指南：1、男主神经病，对女主一见钟情，直球追妻。2、日更，周末休息一日。3、双处，这本文风应该偏搞笑。4、求收藏评论灌溉么么叽～5、小甜文，历史架空。      7、系统毫无存在感，可以忽略。      8、再次声明，男主对女主一见钟情，好奇感兴趣。加之他心理扭曲，想法异于常人，性格时好时坏，神经病一个，所以他的举止行为大家不要惊奇，看他表演就是啦。            
天降Omega成了我老婆,楼中宴,原创-纯爱-近代现代-爱情,连载,54201,2996233,"['天作之合', '甜文', '穿书', 'ABO', '先婚后爱']",2024-12-10,忍不住操心的冷淡霸总×有点心机的贤惠小可爱  卫凌一大早惊恐地发现自己床上多了个长发美男，还自称是自己老婆。26年谨守单身男德的卫凌懵了，让他更懵的是这个男生还说自己是“Omega”。这时突然出现的网络狗血小说为他解了惑：这个男生叫宋绘，他是一个ABO小说人物，是一个童年灰暗、婚姻不幸、早早病逝的Omega，而现在，宋绘从书里穿了出来，他卫凌成为了宋绘的结婚对象。卫凌顶着摇摇欲坠的世界观，看着眼前这个美丽柔弱、优雅贤惠的18岁小男生，只好承担起“丈夫的责任”。他鼓励宋绘勇敢、自信、独立，接纳宋绘的心机、自卑、娇气，一点点把一个人的独居生活改变成了两个人的三餐四季。---    宋绘自结婚以来，就立志于使出十八般武艺拿下老公的心。    他用纯欲妆近距离展示精致美貌，用厨艺表现自己贤惠持家，和老公贴贴抱抱亲亲直球进攻。    终于，卫凌嘴上发出母单的拒绝，心跳天天被撩得砰砰作响。而就在两人越来越亲密时，宋绘突然发现自己是一个虚拟人物、是一个没有卫凌老公的悲剧Omega时，他浑身冰冷，一个人枯坐到天黑。从M国连夜赶回的卫凌狼狈地跑回家，一把将他揉进怀里。“你是我的Omega，是我合法的伴侣，是我唯一认定的另一半，没有什么能把我们分开。”双洁1v1 互宠小甜饼
休夫入宫被将军强娶了,海斯廷斯,原创-言情-古色古香-爱情,连载,75375,2950543,"['破镜重圆', '爽文', '成长', '逆袭', '先婚后爱', '追爱火葬场']",2024-12-02,【娇憨机灵白切黑小匠女x冰山深情忠犬大将军】小甜饼不长，求收藏养肥裴玉澍和一个捡来的男子做了假夫妻。她为他领救济粮，为他疗伤，总是看着他俊朗的脸发愣，可是无论她如何热情相待，他都无动于衷。旁人都说，裴玉澍娇气羸弱，是最低微的渔女，倒贴野男人都被嫌弃。裴玉澍终于心寒休夫，她要去宫里做南匠，不再为情所动。本以为与前夫再无见面的机会，可那日，本朝极尽大权的宋将军胜利还朝，皇上命造办处制礼赏赐，裴玉澍隔着幕帘呈上礼物，却听宋将军谢绝了赏赐。宋将军上交兵符辞去官位：“臣不求高官厚禄，只求娶外边的匠女为妻。”裴玉澍不想嫁，但她是匠女，他是将军，权位倾压，如何能反抗？大婚之日，裴玉澍的盖头忽地被掀开。她初次见到宋将军，可那张俊朗严肃的脸，分明同她从前看了一夜又一夜的前夫一样！宋将军身着婚服，攥紧她的手：“娘子，抛下为夫在宫里过得可好？”裴玉澍懵了……【前排提醒】1、sc，爽爽小甜饼，he2、女主轻微花痴但和男主双箭头，偶尔出现追求女主但失败的炮灰3、清宫基础+架空私设女官，涉及造办处的参考文献会在每章后标明一般日更or隔日更，有事会请假~卖萌求收藏（单膝下跪）（嘴里叼花）
遥望江杉,清舟争渡,原创-言情-近代现代-爱情,连载,92398,2896106,"['情有独钟', '甜文', '正剧', '治愈', '非遗', '日久生情']",2024-12-05,【明媚拽姐 vs 深情忠犬】【男暗恋成真，女日久生情，双向救赎，共同经营】阳城开了家手作咖啡店，人都道店里的老板，是个不好惹的外地人。长相美艳，明媚张扬，性子泼辣，有胆大的上前搭讪，无一不吃闭门羹。后来店里隔三差五就有个帅哥出现，传闻是老板的异地恋男友，青梅竹马，感情甚笃。直到某个午后，艳阳洒落小店。店里门庭若市，有客人想喝老板的手冲美式，店员们找不到老板，着急忙慌。休息室内，她们的老板正被一个男人拥在怀里，眼含春水，嘴唇红艳。男人目光灼灼，鼻息微喘，附在她耳边道：“青梅竹马？他也这样吻过你吗？”-廖予欢在阳城失踪了，所有人都跟夏遥说，她回不来了。或许是出于某种执念，她搬到阳城在老街上开了家咖啡店，起名清欢。初来乍到，她无亲无故，常遭排挤，靠着自己的果敢和谋划站稳了脚跟。后来小店面临经营压力，她决定改造升级，碰巧认识了种水果的付江杉。他沉默寡言、不善言辞，却独独在专业和兴趣领域，侃侃而谈，见解独到。她忍不住好奇，靠近，探索，一步步踏入他筑起的壁垒。-付江杉第一次见夏遥时，她骄傲动人、春光无限。第二次见面时，她晕倒在沙滩上，失魂落魄、狼狈不堪。后来再偶遇，她已张扬如初见，自信、洒脱。有人告诉他，她没有表面上看起来坚强，他却不敢苟同。他从未想过将夏遥拉出深渊，因为她本就是身处深渊，也能盛放的光辉。于是他尘封的生命里，有了不败的春和景明。1、学油画的咖啡师x种果园的民俗爱好者，日久生情，细水长流2、故事发生在南方小县城，民俗相关内容为剧情需要，勿代入现实3、女主和青梅竹马只是家人般的关系，无关爱情，误会会很快解除！
顶级向导的救赎训导,晨曦sunday,原创-纯爱-幻想未来-爱情,连载,48662,2893115,"['情有独钟', '天作之合', '星际', '万人迷', '钓系', '哨向']",2024-12-17,普拉瑞斯·樊德——联邦唯一的S级向导。统管联邦【上庭议会】的五大议员之一，被誉为联邦瑰宝的顶级向导。普拉瑞斯偶尔也会感到孤独，身在高位他追求者众多，这些人中却鲜少有人真心待他。一次意外，他发现父亲的死因并不简单，一个素不相识的哨兵，竟戴着父亲去世前遗失的吊坠。他隐藏自己的身份，化名成一位叫“时予安”的小向导，费尽心思接近这位哨兵调查父亲死亡的真相。然而普拉瑞斯从未想过，自己会得到对方真挚热烈的回应。哨兵垂下眸虔诚地亲吻他的尾戒，“先生，我还有机会享有您的爱吗？”………林钧，贫苦出身的SSS顶级哨兵，天赋是上苍给予他的垂怜，家庭是上苍给予他的苦难。他总是孤身一人，拼命努力往上爬的同时经常会陷入迷茫。无论他取得了怎样的成就，也无人为他欣喜，无人为他喝彩。在一场备受整个联邦关注的军事竞赛中，毫无背景的他爆冷赢得了冠军。他抬起头无比期许的环视全场一周，拼命寻找也没能看到家人的身影。全场更一片寂静，只有陌生的观众惊诧、静默地凝视着他。他孤身一人落寞的站在场中自嘲的苦笑……对呀，不会有人在意他的成功，也不会有人为他的荣誉喝彩。直到……观众席上清脆悦耳的掌声传入他的耳中，他不可思议地抬头望去。高台之上，阳光之下金发的向导迎着光映入他的眼眸。“祝贺你！”，那是整个联邦唯一的顶级向导，在他的带动下观众们终于反应了过来，全场顷刻间掌声雷动。或许对于向导来说这只是一个很小的插曲，却让他的身影永远地印在了林钧的眼中。………时予安：“所以，你从那时候就爱上我了？”林钧：“先生，从初见开始，你就已经将我的过去。和未来一起点亮。”———————————————————救赎向小甜文，星际哨向男男合法背景温柔治愈向导受×敏感忠犬哨兵攻精神体：（银喉长尾山雀）×（白色雪狮）主感情线，攻受双洁，受有马甲，万人迷团宠。——更新频率——前期日更，后期随榜。不更新的日子，我会在公告里说明。————这里是【预收】，下一本写这个！————《伪装神明要退休！》一句话简介：他真没有什么至高伟力！！！艾洛诺斯——诸神大战最终的胜利者，伟大的自然之神。数千年悠长的岁月中，这个名字深受敬仰爱戴，无人不知无人不晓。但只有艾洛诺斯自己知道，他哪有什么至高神力！都是谣传！谣传好吧！他能登上最后的神座，全靠着惊人的运气，以及他那强大的“忽悠”能力。没错！这些年来诸神混战中的南征北伐，他全仰着自己炉火纯青的坑蒙拐骗技术，忽悠了无数强大的存在为他征战。为了避免自己的真实实力暴露后，那群被他忽悠的家伙们把他大卸八块，艾洛诺斯给自己制定了详细的退休计划。退休计划第一步，先借着大战重伤沉睡上个千年避避风头。退休计划第二步……没有第二步！！！艾洛诺斯苏醒没多久，就迎面撞上了自己曾经强行圈养在身边的一条巨龙——维欧利斯。艾洛诺斯犹记得对方年幼时，总会睁着那双漂亮的紫色竖瞳恶狠狠的瞪视着他，发誓总有一天会咬断他的咽喉。他命休矣………！！！——————————温柔救赎向，非典型迪化流温柔博爱的胆小神明受×冷漠凶残的傲娇恶龙攻龙龙不是不爱神主，龙龙只是傲娇而已~~~
满级绿茶摆烂日常,观豆,原创-言情-架空历史-剧情,连载,76788,2867379,"['穿越时空', '青梅竹马', '种田文', '轻松', '团宠', 'HE']",2024-12-09,【轻松向日常风，日更求收藏】沈翠薇意外穿成了沈老木家不受宠的小孙女儿。原主爷奶不疼爹不爱，只有一个受尽磋磨的阿娘将她带。村里人都说母女俩凄凉命苦遭虐待，翠娘轻轻松松将阿娘的亲事败。劝和离，回姥家，要米有米，要瓜有瓜，更是羡煞众人的养蚕第一世家！------------丝绸富商谢氏内斗，将自家小公子送到庄子上养病，惊动了整个大坝村。听说小公子样貌俊俏不凡，文采更是举世无双？小翠娘悄悄上了心，撅着小屁股就往谢家狗洞里钻~被大狗追得满院跑的她终于看到了俊俏无双却又虚弱可怜的谢无患。小姑娘歪着脑袋笑得一脸天真：“小哥哥你真好看。”某绿茶内心：傍上小哥哥前途无患~人设：无辜摆烂乖乖女（清醒绿茶心机婊）vs脆弱少言小可怜（隐忍狡诈大魔王）以下是预收：《娘娘重生后》元皇后沈溪芷，聪慧大气，遇事果决。十五岁陪李后安起义，打江山登帝位，却在四十岁那年被后妃陷害，打入冷宫幽闭至死。时光辗转，沈溪芷回到刚嫁给李后安那年。沈溪芷为后那些年一直有个梦想，如果一开始就不曾踏入这阴谋算计的深宫后院，她是不是就能留在十里村，守着三间茅草屋，好好地将阿娘养蚕缫丝的手艺发扬光大。好不容易重生一世，沈溪芷不想再过那看似富贵荣华，实则满是阴谋算计的日子。只想守着自己的一亩三分田，踏踏实实过日子。李后安自从娶了沈四娘，就一直被她的聪明才智压制。于是，李后安开始假意宠溺贵妃，让她去挑衅皇后，然后趁机将皇后打入冷宫。只希望她能好好反省反省，想想自己平日里是不是太过逾越了。不想，这一别竟是一辈子。小剧场1：沈四娘重生醒来，发现自己正骑在李后安身上。原本旖旎的场景戛然而止。沈四娘愣怔片刻，默默起身，将腿从李后安身上挪下来。李后安看着突然停下的女人，脸上闪过一抹失落。“四娘？”沈四娘没有应声，只扯过一条裤子嫌弃的擦了擦，之后便背对着他躺下睡了。小剧场2：沈四娘上山采桑叶，顺便捡回一筐菌子，但她已经忘了哪种菌子有毒。于是她将菌子煮了一锅后，当先盛了一碗端给李后安。李后安看着沈四娘亲手煮的菌子，感动的痛哭流涕：梓童还是爱朕的，煮了菌子也知道让朕先吃。见沈四娘满眼期待看着他，李后安欣慰的捧起碗，大口大口的吃给她看。“怎么样，这些菌子如何？”“味道很好，我很喜欢。只是……不知为何，吃了之后突然感觉有些头晕！”“头晕，吃了哪一朵开始晕？”“第四朵。”沈四娘回忆了下，第四朵红蘑菇。李后安晕过去前，看见沈四娘默默转身将锅里的红色蘑菇全都挑出来扔掉了。李后安：......沈四娘你没有心！
穿进挖坑不填的玛丽苏文后,落笔生话,原创-言情-架空历史-仙侠,连载,40786,2832699,"['情有独钟', '仙侠修真', '甜文', '穿书', '美强惨', '救赎']",2024-12-15,人设：经常性犯傻X间接性发疯。滑跪道歉第一名X霸道冷酷大魔头【魔尊微掉马情节，全文轻松搞笑向】【女主正得发邪，传播社会主义价值观】【1V1，双向救赎文，男主美强惨】时闻折眼睛一闭一睁，哦豁，穿越啦，还穿进自己小学时期写的玛丽苏烂文里。好消息：成精了，是整本书里唯一拥有净化能力的花妖。坏消息：花妖是文中从未出现的角色。烂文剧情未知，结局不详，角色出场跟开盲盒似的，好坏全凭运气。时闻折战战兢兢发展自己事业。净化戾气：将戾气横生的魔界恢复原样。种植大户：捡起自己的老本行，开始养猪种田，子民衣食无忧、建设荆棘城墙抵御外敌。顺便抱得了魔界第一美人归。可惜好景不长，书中故事线始终在发展，她只能一步一探索，每步都踩雷，每天不是在受伤就是在受伤的路上。不过谁让她是三好青年呢，见着可怜的人，捡！碰到不公平的事，管！正道虚伪阴险，颠倒是非，觊觎时闻折净化能力，污蔑她为灭世邪魔，开启仙魔大战，时闻折抱紧魔尊美人的大腿，看着与反派魔尊对峙的男女主瑟瑟发抖。完蛋，故事全乱了，为了救老公，时闻折只能以身祭道，可与爱人生死相隔，改变不了魔尊原定的死亡结局。“我的书我做主！”时闻折怒发冲冠，执笔夺回主权，开始以创作者的身份改变故事内容……————————文案二啊哈哈哈哈，好消息好消息，时闻折没死，还穿书啦！她摸了摸自己柔顺华贵的羽衣，觉得自己不个是个大富大贵的小姐，就是个倾国倾城的美人，而且前期肯定身世坎坷，后期一鸣惊人，是个拯救世界的英雄，时闻折嘴角快咧到耳后根，摩拳擦掌，准备干一番大事业。可惜后来才发现，自己根本不是什么主角，是个不折不扣普普通通的小白花啊。字面意义的，白色的！花！妖！顶多算个NPC。没关系，时闻折心想，自己已经不是人了，可以活好多好多年，一点都不亏。啊哈哈哈哈，时闻折仰天长笑，还没笑开怀呢，系统告诉她，她穿进了自己写的书。时闻折咯噔一声，暗道不妙。自己…自己能写什么书啊？时闻折战战兢兢地想，除了十岁那年，好像在读小学三年级吧，自己写了一本书。小说名叫《倾尽天下》，其实按理来说也就是个情节俗套的仙侠故事，男女主角废柴逆袭，重肃门派之后杀死魔尊，维护人间正道，在历经重重磨难之后坚定地选择彼此，最后飞升成仙，逍遥三界。也算正常的剧情，但悲催的是，那是10岁的时闻折写的，是小学生的幻想恋爱产物。可恶！小学生能知道什么恋爱？！所以这本书虽然披着恋爱的皮，打着守护正义的口号，实则是个语句不通、逻辑不顺、一惊一乍、乱七八糟融合了各种元素和梗的绝世小垃圾啊。“哦呵呵呵呵。”时闻折捂嘴笑得打滚。只要一想起，自己穿进了中二时期自己写的玛丽苏烂文里，就笑得癫狂。因为除了玛丽苏，这小说还烂尾了啊！啊哈哈哈哈哈哈哈哈，时闻折疯狂吸氧，声如细纹地呐喊：“救命。”系统让她拯救世界，可是她也不知道怎么拯救，因为自己挖坑不填、剧情稀烂、结局未知。而且当时写的时候，是以女主的视觉写的，她又不是女主，她知道个登儿。本来还有系统，也算如有神助，可惜系统是个破烂系统，半死不活、假死诈尸、一问三不知，随意到她觉得这是个经营游戏，一点都不急迫，也不正经。再说了，男女主角正得发邪，她就是个路人甲npc，用不着她来拯救世界。所以她隔岸观火，捞起袖子发扬农业，每天除了种地就是种地，励志让贫穷落后的魔族迈入小康社会，发扬种花家勤劳勇敢美德，让家家户户的小妖小魔衣食无忧，欣欣向荣。时闻折种田游戏玩得正开心呢，被正道打过来了，哦豁，隔岸观火，火烧过来了。妈妈呀，救命。时闻折抱紧魔尊大腿，看着与反派魔尊对峙的男女主瑟瑟发抖。魔尊拉着时闻折的小手，有些无奈，又有些宠溺：“怕什么？我护着你。”时闻折看着魔尊崩了的人设发狂，说好的杀人如麻、冷酷无情、性情无常的大魔头呢！这个一脸宠溺的男人是谁？！根本不能好好种田了。呜呜呜呜呜呜呜，时闻折崩溃。不过等时闻折成为魔后才发现，哎嘿！居然能够光明正大地发展农业，这可令她开心不已。但是不妙，她忘记她在反派阵营了。呜呜呜呜呜呜呜，时闻折大哭。农业发展夭折、子民死了、老公也死了。时闻折无助挣扎，终于等到了诈尸的系统。系统告诉她：“祭天正道，肃清因果。”时闻折心想：“也行，反正自己种田也累了，死了就死了吧，以后就不用日出就作日落才息了。”啊哈哈哈哈，时闻折仰天长笑，苦涩而决绝。只要子民山河无恙，爱的人都还活着，什么都值得。HE
参缘县令,甦翮,原创-言情-古色古香-爱情,连载,84596,2755328,"['情有独钟', '甜文', '朝堂', '古代幻想', '轻松', 'HE']",2024-12-11,橠白，一株三百余岁的老参所化型成的人参娃娃因缘际会之下与凡人阿舟结了缘然凡人阳寿如何能与草木精灵作比？橠白方才懵懵懂懂开了情窦，阿舟已是溘然长逝不甘离别的橠白誓要与阿舟再续前缘，追入了凡尘之中阿舟轮回转世，成了一方父母官——陆归舟为与他亲近，橠白前去县衙应职主簿，却是误会连连，与陆归舟的兄长厮打成了一团打斗之中，蓦然又见一人，橠白不遑多想，径直一拳打了去橠白抬眼一看，那人竟就是她苦寻已久的阿舟哥哥！----------------新科举子陆归舟被派至竹远县做了县令满心报复正准备大展拳脚的陆归舟翌日便听闻自家哥哥于县衙门前遭人殴打他匆忙前去查看，结果甫一踏出县衙的门，那人对着他当胸就是一拳抬眼一看，那人竟是个粉嘟嘟的红衣小姑娘！她见了那小姑娘，那原本想要理论的嘴张口便是一番道歉，还将人请进衙门里去斟茶赔罪如此，还不罢了橠白吃罢了茶便要走，陆归舟生怕再见不到她，忙不迭便道：“你可愿留下做我的主簿？”----------------一见钟情生怕人跑掉的陆归舟：“^w^”打了心上人灰溜溜想走的橠白：“！！！”
嫁给太子后，王爷他疯了,谢双枝,原创-言情-架空历史-爱情,连载,97185,2710738,"['情有独钟', '天作之合', '成长', '正剧', '救赎']",2024-12-02,【日更！日更！绝对不坑！每日23点准时更新！】【女主八百心眼柔弱白切黑X男主自我攻略疯批纯情忠犬】【相府不受宠的乡下野丫头嫡长女vs年少将军但跌落云端的疯批王爷】【又名：还没过门，被小叔子盯上了怎么办？】文案：1盛愿作为相府嫡长女养在乡下多年，好不容易进了京，只为调查母亲死因。本就不受待见，如履薄冰，这下可倒好，摊上大事了。那日深巷里救下的绝美少年，成了她甩都甩不掉的狗皮膏药。2少年清闲，今日陪着她赴宴，明日陪着她挑胭脂。后来还主动地当了她的专属车夫……盛愿盯着他惊为天人的俊脸，“阁下什么时候回桓王王府？你这张脸如此招摇，别人的唾沫星子要把我淹死了。”少年却叼着杂草，仰躺着翘起长腿，“无妨，列个名单，我去教训他们。”“再者说，你忍心我回了桓王王府，就此小命不保吗？”少年眼眶湿漉漉，分外惹人怜。盛愿无奈点了点头，他一逃兵，要是回了桓王王府，只怕是尸骨无存了。毕竟那桓王殿下萧临深，可是京里人人自危的活阎王。3太子选妃，三千京城贵女，却偏偏选了乡下丫头盛愿。盛愿不愿嫁，但不得不嫁。她要进宫，调查亡母之死！一朝宴会，京里头的达官显贵都在，她身为准太子妃一一见过。直到见了那传闻中的桓王殿下，她手中酒杯霎时跌落。太子见状，揽住盛愿腰身，“这是六皇弟，桓王萧临深。”盛愿惊得说不出口，传闻中的桓王殿下，分明就是为她赶了好几个月车的绝美马夫……4 月黑风高，盛愿被桓王萧临深，抵在东宫寝宫的柱子上。盛愿撇过脸，避开他凑得愈来愈近的脸庞：“桓王殿下请自重，我是你的准太子妃嫂嫂！”萧临深压住她的皓腕，贴近她通红的耳朵，声音低沉：“太子殿下看上的人，我桓王萧临深，也看上了。”【小剧场】盛愿鼓着嘴巴，越想越不划算：“萧临深，我亏了！我要当太子妃！”萧临深本劳形案牍，抬起漆黑的眸子：“你可是后悔嫁给我了？”盛愿撇了撇嘴：“外头都叫我活阎王妃……太！太难听了”萧临深无奈一笑：“就为了这个同我置气？”盛愿眨着眼睛：“可若是真嫁给了太子，我就是未来皇后了……”萧临深：“想当皇后，何须未来二字，你若喜欢，我今日便可实现你的愿望……”盛愿：？？？？！！！！【前期相互试探，相互利用。中期雄竞男主吃大醋。后期撒完狗血！双剑合璧天下无敌！】注意事项：1、非常架空，切勿考据。2、1v1 sc he
魂穿大明，从摆脱奴籍开始,丁青野,原创-言情-古色古香-爱情,连载,78509,2664594,"['穿越时空', '美食', '市井生活', '经营', '正剧', '明穿']",2024-12-11,能言善辩狡诈女 VS 刚直不阿正义男宋瑾穿越到了大明小丫鬟蔓草身上，一睁眼发现自己还是个家生子，一生一世难逃奴籍，于是定下了第一个目标，摆脱奴籍，获取自由。她向主母自荐，可以帮家里做生意赚钱，可以避免柏家亲属分割财产，尖酸刻薄，爱财如命的主母答应了。于是宋瑾梳起头发，穿上男装，从家生子蔓草又变成了主母的远房亲戚文子晋。帮主母赚钱，同时自己藏私房钱，只等着有一天能过摆脱奴籍。终于等到攒够钱那天，赎回契书的要求却被驳回了。自己赎不行，那就找人帮忙吧，于是那个传言中刚正不阿的季舒白入了她的眼。-季舒白打心眼里讨厌文子晋这个人。两人首次见面是在柏家起火的那天，他看着一身布衣的文子晋全程把握着方向，觉得人聪慧又贫寒，便问起读书一事，结果文子晋当场念起《天地阴阳交欢大乐赋》。聪明贫穷放荡无耻是他对文子晋的第一印象。再见面时，文子晋摇身一变成了苏州颇负盛名的食鼎楼掌柜，厨艺相当之好，他感叹此人虽不读圣贤书，却有一手好厨艺。后来两人相遇在府衙门口，文子晋站在他的轿子边，言辞恳切地威胁。“求大人帮帮我，不帮我，我可就把你弄死了。”季舒白没见过这么无耻的人，转身投进大牢，扒了衣服就要上刑，结果扒出个女儿身来。季舒白羞臊无比，文子晋却笑：“大人若是喜欢，不妨脱光了看。”后来他还是帮她脱了籍，看着她拿着一叠放良凭证欢欢喜喜地跑出去，身后拖着一群小尾巴。脱籍以前，面目可憎，脱籍以后再看，相当可爱。食用提醒：1，女主不是大善人，为了脱籍心黑的很2，女主在商，男主在官，都不是一手遮天的人物，都在谨小慎微地做事3，大明背景，会参考相关史书，与实际会有出入，勿过分考究4，女主前期人设腹黑狡诈，脱籍以后好很多。男主为人正直，感情上比较木，在女主手里经常吃亏
被猪感染后卷成十佳清洁工,十三雨林,原创-言情-幻想未来-剧情,连载,46656,2660539,"['幻想空间', '末世', '未来架空', '赛博朋克', '废土', '克苏鲁']",2024-12-06,【末世废土/赛博朋克/微克系/微群像】【本文求收藏！！！专栏预收文《从落魄小姐到地府外交官》求收藏！！！】“硕大无朋的自身和这腐烂而美丽的世界，两个尸首背对背拴在一起，你坠着我，我坠着你，往下沉。”——咸鱼女大陶梓树在末世游戏里被猪咬死了。或许是看她死得太窝囊，老天奶给了游戏里的她一次重来的机会——绿洲128年，陶梓树被家猪感染了，觉醒了以猪为感染源的异能。自此，身体变好了，力气变大了，一顿吃几盆还嫌少，心情也变好了，吃了睡睡了吃……既然如此，她决心把握良机，继续躺平！然而她却穿越到了这个世界最不人性化的地方——由商业集团掌控着的城市基地。在这里，人被清晰的划分为三六九等。上层人士生活在苍穹之岛，掌握着最尖端的资源；普通人则居住在霓虹夹缝的蚁穴里，一旦失去价值就只能流浪甚至被流放。被猪感染后陶梓树食欲大增，月薪根本满足不了她的基本需求。为了吃饱，她只能选择打最勤奋的工，保持007的作息，与躺平彻底绝缘。不久后，她却发现自己不仅仅只是对食物需求大，想要获得真正的饱腹感，还得靠汲取污染当中的异化能量。因此她自愿加入了警卫第五分队，任务是清理异形尸体以及空气中的污染残留。每次要开始干饱受歧视的“清洁工”工作时，陶梓树都会深吸一口气，感慨道——“好香啊！这里是自助餐厅吧！”队友：？？？每回空气中的污染残留都被她吃得一干二净。很快，她被评选为部门年度十佳员工，却很少有人知道，入夜后十佳员工最常往来的地方，是无法无纪的灰色地带与鱼龙混杂的黑市。【暴躁冷脸疯批辣椒×恋爱脑顾家人夫】食用指南：1.世界观=末世废土+赛博朋克+克苏鲁+第四天灾，仅结合框架结构完善本文世界观，请勿深挖细究。无恐怖元素可放心食用。2.升级流，女主有金手指，有清晰的成长线，游走于黑白两道之间。利己主义，有良知的前提是不会损害自己的利益。3.陪伴+服务+付出型男主，1v1感情线明确，共同成长，男强女更强。男主人夫恋爱脑，只有面对女主时是付出型人格。4.全文架空。玩家群穿。主角双穿。——————————【以下为专栏预收文《从落魄小姐到地府外交官》文案，求收藏！！！】富甲一方的颜家破产了。一夜之间，颜西呈从金枝玉叶的富家小姐跌落成睡猪圈隔壁的村花。她那出仕多年的兄长没了家财行贿，也被贬回了村。她这才想起来，她哥叫颜东晟。日月今日西沉，明日才能东升。她哥要娶媳妇时，新妇提出他们家起码得有间勉强能看的屋子。于是曾经对她万般宠爱的父母，在她生辰那日，果断把她卖了。去青楼的路上，她奋力顽抗。最终死在了京城的城门口。再度醒来时，孟婆提着她的脑袋猛猛灌汤。见实在是没有效果，才无奈道：“这魂太冤了，留在地府当差吧。”鬼差崩溃大哭：这地府男女比已经达到1:9了，每年光是夭折的女婴就有上万，再这么着，地府都要成女儿国了！颜西呈垂死病中惊坐起：什么女儿国？哪里有女儿国！快让我来加入你们！鬼差齐齐摇头：不行不行，这样吧，我们派你去地上当外交大使！回到人间后，颜西呈才惊觉。这哪里是什么外交大使？分明是人质！！！食用指南：1.女主生在父权社会，但会有替女孩们鸣不平争平等的意识。2.忠犬型恋爱脑男主，1v1感情线明确，青梅竹马，同生共死，男强女更强。3.地上地下均无恐怖情节，可放心食用。4.全文架空，请勿深挖细究。——————————希望本文可以为你带来轻松愉悦。
