排名,书名,作者,类型,进度,字数,积分,标签,时间,简介
11,放学等我,酱子贝,原创-纯爱-近代现代-爱情,完结,382237,28637343744,"['花季雨季', '情有独钟', '破镜重圆', '校园', '轻松']",2022-01-04,喻繁看班里那位新来的转班生非常不爽。对方朝他看了一眼。喻繁：他在找我约架。第二眼。喻繁：他问我是不是怂了。第三眼。转班生依旧顶着那张面无表情的冰山脸，递给他一封信：“喻同学。”喻繁心想学霸就是臭讲究，打架还递挑战信，抡起衣袖站起身。“请你收下我的情书。”喻同学敦地一下坐回去了。——陈景深（攻）x喻繁（受）日常，慢热请求大家不要在本文相关以外的任何地方提及这篇文。请求大家不要出去拉踩、ky、空口鉴。大家看文就好。感谢
12,魔道祖师,墨香铜臭,原创-纯爱-架空历史-爱情,完结,691111,28620851200,"['灵异神怪', '情有独钟', '天作之合', '仙侠修真', '正剧']",2015-10-31,前世的魏无羡万人唾骂，声名狼藉。被情同手足的师弟带人端了老巢，纵横一世，死无全尸。曾掀起腥风血雨的一代魔道祖师，重生成了一个……脑残。还是个人人喊打的断袖脑残！我见诸君多有病，料诸君见我应如是。但修鬼道不修仙，任你千军万马，十方恶霸，九州奇侠，高岭之花，但凡化为一抔黄土，统统收归旗下，为我所用，供我驱策！蓝忘机（攻）×魏无羡（受）高贵冷艳闷骚攻×邪魅狂狷风骚受调戏不成反被【哔——】PS：●1V1主角受HE。●前世今生双线剧情，夫夫解谜打怪打孩子。●为了创造一个纯粹的书评环境，评论区希望大家可以专注讨论小说本身的内容~请不要讨论其他内容，更不要因此吵架，不要以任何理由互相攻击哦！如果看到不合适的评论，无需回复，轻点投诉即可。守护评论区需要每一位书友共同努力，谢谢大家了！●感谢大家为了保护首刷读者，忍住剧透和预警剧透。不过，晋江有规定评论不能是大段无意义的重复内容，会被清理掉的。所以，如果是想提醒首刷读者小心评论剧透，轻轻地简单提醒一句就好啦，不用叠罗汉昂。
13,我在无限游戏里封神,壶鱼辣椒,原创-纯爱-近代现代-爱情,完结,2573738,24604950528,"['灵异神怪', '无限流', '爽文', '直播', '正剧']",2020-06-24,正文已完结白柳在失业后被卷入一个无法停止的直播游戏中，游戏中充满了各种各样的怪物和蕴含杀意的玩家一开始所有人都以为白柳只是个误入游戏的普通人后来，他们才明白，是这个游戏用胜利和桂冕在恭迎属于它的神明，对白柳说，欢迎回家恐怖神明非人类美攻*特别爱钱随便炸场有点疯受参考了跑团，克系等科幻灵异世界观，非现实纯架空世界，所有都是私设阅读注意事项：大男主无限流慢热升级流爽文排雷：主剧情，感情戏份极少，攻切片，大大大长篇，受是中二杰克苏，还很万人迷，雷点可能相当密集，介意这些读者慎入，如果怕被雷的读者也可以等完结之后等其他读者排雷之后再入本文为现实架空游戏设定，与现实毫无关系，请大家不要代入现实欢迎各位踊跃评论点评，正负零分都可以，但如果中途看得真的很不爽，还是建议大家及时止损，骂我几条就可以弃文了，不用相信别人安利时说什么【这本文后续会很好看】忍着看下去，这文后面和前面差不多水平的，所以当你觉得前面看得不爽，我真诚建议快跑.jpg，花钱看文的读者没必要让自己受这个委屈但激烈人身攻击，引战拉踩等违背晋江规定的评论我是会申请删除的，请大家不要去其他人的文下提我的文，我在其他文下看到了会举报的，视频也是防盗比例百分之五十，购买达到比例后的读者如果不能看新章可以尝试清理缓存，或者拨打客服，更新时间一般在晚上，V后应该会经常加更希望大家和谐讨论，开心看文
14,不见上仙三百年,木苏里,原创-纯爱-架空历史-爱情,完结,533344,24029347840,"['强强', '仙侠修真', '相爱相杀', '甜文', '正剧']",2021-11-30,世间邪魔千千万，照夜城里占一半。至于剩下那一半，全都死在了天宿上仙萧复暄所掌持的苍琅北域里。只有一位魔头被囚锁了二十五年，却依然活着。就是照夜城主乌行雪。
15,AWM[绝地求生],漫漫何其多,原创-纯爱-近代现代-爱情,完结,330466,23825217536,"['情有独钟', '破镜重圆', '体育竞技', '甜文', '轻松', '电竞']",2018-01-24, 电竞新文《FOG[电竞]》连载中，感谢支持。《AWM绝地求生》正版周边现已上市。感谢支持。购买店铺：HOG电子竞技俱乐部《AWM绝地求生》正版简体书现已上市。感谢支持。购买地址：翰联天猫店 当当网 现代电竞     甜度：++++++电竞明星大神慵懒老流氓队长攻X外硬内软孤僻新锐队员受【主角配角均无原型，谢谢大家】AWM：PUBG游戏中伤害最高获取最难的怪物大狙，空投终极梦想，威力足伤害高，无视任何头部防具爆头一枪倒地，唯一缺点：几率产出，获取极难，全凭运气。你是我的AWM的意思就是：你是我的可遇不可求。  推荐cp千鹤的现代甜文—>《迪奥先生》    专栏，求收养
16,洄天,淮上,原创-纯爱-近代现代-奇幻,完结,709033,22768508928,"['强强', '异能', '现代架空', '悬疑推理', '正剧', 'HE']",2022-12-17,一场流星雨带来大量放射性陨石，造成全球十万人突发进化，异能由此产生，动荡与恐慌接踵而来。为了稳定社会结构，全球各地纷纷成立监察处，旨在用一切力量解决异能犯罪，保障公共治安。申海市大监察官沈酌以冷酷强硬、铁腕高效的行事风格而闻名，进化者们敬畏他，痛恨他，也不得不服从他。关于他的流言大多集中在两方面，一是血腥有污点的过往，二是他冰冷沉默但美貌的脸。热爱维护核平强得日天日地天生热衷雄竞从来屡竞屡胜轻佻嘴欠的逼king攻&位高权重美强惨狠一生双标懒得掩饰的受本文跟现实毫无联系，纯属架空虚构没有原型不可代餐这口腿肉不适合控控口味偏好强烈的读者食用因为想吃但找不到粮所以自割腿肉爽一把因为是自吃自粮所以偶尔会没有理由地展开飞翔正常每周更六休一，有事会提前请假，HE~
17,直播写纯爱文的我在虫族封神,MRA,原创-纯爱-幻想未来-爱情,完结,2048118,22425112576,"['爽文', '直播', '逆袭', '虫族', '轻松']",2023-03-19,【全文完结】【假温柔病弱真腹黑精明攻x冷漠阴沉高岭之花实则口嫌体正直纯情恋爱脑受】时寸瑾是一位知名小说家。谈完大项目当晚，他眼一闭一睁，穿书变成一只废物雄虫。时寸瑾：？原著烂尾，HE转BE。必须要掰正剧情，穿书系统才放他回去，偏偏系统虚弱到休眠，时寸瑾穿越当晚差点落地成盒。低配+天崩开局，死了算…算个屁！我刚谈完的大项目！比起救剧情，还是先想想怎么救自己吧！时寸瑾融合记忆发现虫族世界文化贫瘠，干脆捡起老本行连夜在星网直播写文，开播名字上去就是一个经久不衰震惊体：【室友老是穿得很厚，有天回去早，意外发现他竟然有尾勾？】路过雌虫：等等？路过雌虫：什么？无数虫震惊点进这个直播间……直到下播都没人走。新号开播当晚，空降top榜！时寸瑾一战爆火，纯爱战神席卷糙汉虫族世界观！越来越多雌虫蹲守直播间，嘲讽蔑视直说不可能有雄虫阁下会这样！——然后耿直打赏。继[室友]后，主播又推出[同事]、[医生]…等系列纯爱狗血小说令这群单身寡雌欲罢不能！狂热追捧！谁都想知道主播是谁！可没虫能找到。直到有一天向来准时的主播发了停播通知：【卷入胡蜂族大战，星网不稳定，停更。】守着直播开播的百万雌虫：？？？悄悄潜水追更的双方统领：……停战！紧急停战！先把老师送出去！！内战可以输，单身雌虫梦之信仰不能死！！*——早在发出通知前，时寸瑾就已脱离危险。谁能想原作者笔力驾驭不住的狂气拽比受，私底下其实爱追狗血故事，还悄悄成为他的榜一，网恋上头愿意直冲战区救cp这会酷哥脸上带血，眼神阴桀，神情恐怖骇人。可那双搂着雄虫的手正不停发抖，动作局促又紧又勒，时寸瑾被抱得不舒服挣了一下。阿努什卡立刻单膝跪下小心牵住他的手，有点语无伦次的颤抖道：“…不，别怕，对不起，我马上使用抑制剂。”时寸瑾没忍住，摸了摸他的金发。——1-【主攻】时寸瑾x阿努什卡，锁死禁止拆逆。2-文中所有情节发展均为推动剧情而服务，星际虫族属于幻想架空题材，请勿脱离剧情讨论，请勿带入现实，请勿混淆现实与虚拟小说的界限，网络小说请勿上纲上线。3-别在本文评论区提及其他作者的文，也别在其他作者评论区提及本文，尊重他人创作成果。4-评论区请友好交流，和平讨论，禁止人身攻击，请尽量别写带颜色的段子，走进评论区遍地裤子实在太过超前。6-吵架伤财运，祝大家恭喜发财。专栏预收《非传统求爱法则》求收藏^^
18,烈火浇愁,priest,原创-纯爱-近代现代-奇幻,完结,783098,21835843584,"['强强', '幻想空间', '古穿今', '都市异闻', '正剧']",2018-12-31,“在岩浆的浪尖上，有烧不完的余烬。”古穿今，年下。感谢老福特上“橙子绿呀绿”小盆宇的封面图=w=字写得敲美丽
19,营业悖论[娱乐圈],稚楚,原创-纯爱-近代现代-爱情,完结,666343,21342275584,"['年下', '情有独钟', '娱乐圈', '轻松']",2020-01-29,【《可爱过敏原》已完结，欢迎前往阅读~】入坑本文前请看排雷~有实力却很糊的男团Kaleido，偶然因一段机场他拍视频走红。视频里，全团最攻的老幺裴听颂把哥哥方觉夏抵在墙上，手拿机票轻拍他的脸，而方觉夏却只是拿走机票叼在唇边，整理衣襟。一场团内“霸凌”变身成刺激互撩，听觉cp横空出世。于是，潜规则传闻缠身的被弃王牌和传说中的带资空降背景户就这么捆绑在一起，明明出道就不合，却被迫开启漫漫虚假营业路。主舞主唱门面·理智坚韧美人受vs创作/rap/总攻担当·叛逆不羁年下攻人生是一场关于营业的悖论。【排雷】1、[队内恋爱]，不喜勿入！2、受有潜规则传闻（没被潜会澄清），双初恋，感情线无虐3、架空娱乐圈，不写实勿较真。认为“明星有文化”这个设定很违和的请勿入，前中期有烧脑真人秀，不喜勿入。4、攻受开局关系差，开篇性格只是冰山一角，完整人设铺展很慢，别骂角色，不喜就弃5、无原型！【请勿提及三次元，这么个小糊团谁代谁糊】，谢绝换头，请勿侵权6、男团文有舞台所以会有不少原创歌词，不喜勿入7、会登顶有爽点但[非快节奏爽文]，【谢绝写作指导】，别勉强自己看文，开心最重要。8、请勿去其他地方ky，圈地自萌。9、请勿拉其他文来比较（或拿着这篇文拉踩别的文，都很ky），看书就好。
20,FOG[电竞],漫漫何其多,原创-纯爱-近代现代-爱情,完结,510136,21277171712,"['轻松', '电竞']",2019-07-30,+现代电竞+男神VS男神医疗师攻X突击手受【主角配角均无原型，谢谢大家】推荐绿野千鹤老师的现代血族新坑《以牙之名》
21,将进酒,唐酒卿,原创-纯爱-架空历史-爱情,完结,1041869,20814985216,"['强强', '宫廷侯爵', '情有独钟', '天作之合', '正剧']",2018-10-01,【有修改提示皆是在解锁中】浪荡败类纨绔攻vs睚眦必报美人受。恶狗对疯犬。中博六州被拱手让于外敌，沈泽川受押入京，沦为人人痛打的落水狗。萧驰野闻着味来，不叫别人动手，自己将沈泽川一脚踹成了病秧子，谁知这病秧子回头一口，咬得他鲜血淋漓。两个人从此结下了大梁子，见面必撕咬。“命运要我一生都守在这里，可这并非是我抉择的那一条路。黄沙淹没了我的手足，我不想再臣服于虚无的命。圣旨救不了我的兵，朝廷喂不饱我的马，我不愿再为此赴命。我要翻过那座山，我要为自己一战。”  1v1，HE，HE，HE。每晚19点更新。【大纲已完成，我知道我在写什么，我希望大家看清楚HE，稍微尊重一下我，感谢。】【预警】1、主cp萧驰野x沈泽川，萧攻沈受。2、有条百合线，还是重要角色。3、攻比之前几本的哥哥们更加混账。4、作者是个没文笔的大魔王，练节奏。5、我给磕头了各位大爷，看文案，看文案，【看清文案】。不要给作品戴高帽，架空标签从头到尾没变过，涉及剧透的长评请去该去的章节。
22,小蘑菇,一十四洲,原创-纯爱-幻想未来-科幻,完结,313845,20419121152,"['科幻', '末世', '正剧', '废土']",2019-10-17,安折是朵蘑菇，毕生使命就是养出一颗自己的孢子。有一天，他把孢子弄丢了。他满世界找了很久，终于在新闻上看到了眼熟的孢子。安折绝望地敲开了人类军方某位上校的家门。“先生，您好。您手下那项研究进行得好吗？研究完可不可以把我的儿子还给我？”上校一脸冷漠：“你的儿子？”“我生的QAQ”上校：“我养的。”“真的，先生，我亲生的QAQ”“再生一个我看看。”安折：“嘤。”[食用指南]1.孢子不是生子。2.废土科幻，微克苏鲁。3.正常早6：00左右更新，有事会请假。11.7周四入v。*除了实体商志的独家番外，晋江上的连载版即为全部内容，无其它任何增添补充。
23,地球上线,莫晨欢,原创-纯爱-近代现代-爱情,完结,1341652,20322668544,"['科幻', '无限流', '爽文', '升级流', '轻松']",2017-11-15,本故事纯属虚构，为想象虚拟，非现实产物。半年前，数以万计的黑色虚影巨塔出现在全球各地，悬浮城市上空。化学家、物理学家、宗教……全部束手无策。半年后，人们习惯了，不再关注它。唐陌有一天看见一只飞虫撞上了虚影黑塔，没有穿透过去。第二天，一道儿童般清脆的声音向全人类发布公告——『叮咚！2017年11月15日，地球上线了。』傅闻夺×唐陌黑塔三大铁律——①一切解释归黑塔所有。②6点-18点是游戏时间。③请所有玩家努力攻塔。
24,不要在垃圾桶里捡男朋友[快穿],骑鲸南去,原创-纯爱-近代现代-爱情,完结,1369880,19970545664,"['打脸', '系统', '快穿', '复仇虐渣', '轻松']",2018-05-02,"池小池，四流出身，三料影帝，二流脾性，一品相貌，从地狱hard模式一路洗牌通关至人生赢家模式。然后，他被一盏吊灯砸成了植物人模式。061：你好，渣攻回收系统了解一下。本系统以渣攻的悔意值为计量单位，每积攒一百悔意值即可脱离当前世界。友情提示一下，我们的员工在工作中一般是通过自我奉献与牺牲，培养渣攻的依赖性，一步步让渣攻离不开……池小池：身败名裂算多少后悔值？跌落神坛算多少后悔值？求而不得算多少后悔值？061：……1、1v1,he,绅士温柔忠犬攻x皮这一下很开心受。攻是系统，不切片，虐渣的归虐渣，恋爱的归恋爱；2、没肉，拉灯大法好；3、苏爽白甜无逻辑，和反派画风不同，慎入4、作者原号【发呆的樱桃子】，因为犯了严重错误，已笔名自杀。现号【骑鲸南去】，请关注微博【晋江-骑鲸南去】"
25,难哄,竹已,原创-言情-近代现代-爱情,完结,389931,19786264576,"['欢喜冤家', '天之骄子', '甜文', '轻松']",2020-03-17,【全文完，下本写《折月亮》】机缘巧合之下，温以凡跟曾被她拒绝过的高中同学桑延过上了合租的生活。两人井水不犯河水，像是同住一屋檐下的两个陌生人。平静的生活中止于某个晚上。温以凡从桑延口里得知自己近期梦游的事情。她有些窘迫，也不知道该做出什么反应：“昨晚应该是你第一次看到我梦游吧？”桑延散漫道：“还有一次。”温以凡沉默两秒，迟疑说：“那我……做了什么吗？”“你突然跑出来抱住我。”“？”桑延挑眉，闲闲地补充了句。“还亲了我一下。”*人骚嘴贱大少爷x其实很崩溃但也能做到比他更骚的假淡定微博@小竹已【《折月亮》文案】放弃追傅识则的那天，云厘红着眼睛，删掉了关于他的所有联系方式。再后来，两人在一起后的某天。云厘不擅长与人打交道，纠结了好一阵要不要删掉一个突然对她表露出暧昧倾向的男性朋友。旁边的傅识则靠在沙发上，懒懒地看着她，突然笑了声，语气没什么温度：“可以。”云厘抬头：“？”“删我微信就这么干脆。”“……”*女追男*轻度社恐x病弱冷败类
26,伪装学渣,木瓜黄,原创-纯爱-近代现代-爱情,完结,384507,19665604608,"['花季雨季', '欢喜冤家', '甜文', '轻松']",2017-12-26,分班后，两位风靡校园的“问题少年”不止分进一个班还成为同桌。明明是学霸却要装学渣，浑身都是戏，在表演的道路上越走越远。-818我们班里每次考试都要争倒数第一的两位大佬。注孤生戏精攻（贺朝）x不服就干泯灭人性受（谢俞）【标了攻受，不互攻，不要站错拉基本上是一本正经的搞笑文，关于成长的一点小事。防Ky：同类型校园文不代表谁像谁，不要去别的文底下打扰其他作者，不要空口鉴抄！！希望互相尊重。谢谢。讲素质讲文明，世界和平。微博@炸天黄
27,嚣张,巫哲,原创-纯爱-近代现代-爱情,完结,545594,19171239936,"['强强', '校园', '轻松']",2019-05-31,校园文。HE。晚7点40更新。封面感谢 @莲小竹 妹子！
28,偷偷藏不住,竹已,原创-言情-近代现代-爱情,完结,372139,19155990528,"['情有独钟', '励志', '甜文', '轻松']",2019-01-22,※实体书已出版上市，各平台均有售=v=十三岁那年，桑稚偷偷喜欢上一个男人。男人的模样冷淡慵懒，说起话来吊儿郎当的，经常来她家，一个下午窝在她哥哥房间里打游戏。偶尔见她进来送水果零食，也只是漫不经心地掀起眼皮，笑得像个妖孽：“小孩，你怎么回事啊？一见到哥哥就脸红。”*妖孽腹黑x乖张少女微博@小竹已
29,轻狂,巫哲,原创-纯爱-近代现代-爱情,完结,603363,18843080704,"['强强', '轻松']",2018-10-15,校园文。HE。晚7点40更。
30,我喜欢你的信息素,引路星,原创-纯爱-近代现代-爱情,完结,344003,18508623872,"['幻想空间', '花季雨季', '甜文', '校园', '轻松']",2019-05-14,作为一个长得好、家庭背景也不错Beta，段嘉衍顺风顺水浪了十几年，直到高中遇见路星辞。路星辞家世比他好，人比他高，篮球打得比他好，学习更是甩段嘉衍八百条街，就连段嘉衍的狐朋狗友，偶尔也会忍不住夸赞路星辞几句。最重要的是，段嘉衍盯上的姑娘，坦言自己喜欢校草路星辞多年了。段嘉衍从此单方面看不顺眼路星辞，直到有一天，他拿到了自己最新的体检报告。他是个分化迟了的Omega，因为分化得太晚，人给憋坏了，Alpha一靠近段嘉衍就会浑身疼痛想揍人。他对所有Alpha的信息素过敏，除了路星辞。-一天晚自习。段嘉衍身体不舒服，不得不麻烦路星辞咬一口他的脖子，做个临时标记。做完标记，路星辞散漫道：“我们Alpha脾气都很差、很小气，你让我帮你做标记，有报酬么？”“那你……”段嘉衍试探性问：“大气点？”“行啊，”对方长眸微垂，点了点自己白皙的脖颈：“你也咬回来，我就不计较了。”段嘉衍：“……”
31,默读,priest,原创-纯爱-近代现代-悬疑,完结,801097,17385902080,"['都市', '悬疑推理', '正剧']",2016-06-15,童年，成长经历，家庭背景，社会关系，创伤……我们不断追溯与求索犯罪者的动机，探寻其中最幽微的喜怒哀乐，不是为了设身处地地同情、乃至于原谅他们，不是为了给罪行以开脱的理由，不是为了跪服于所谓人性的复杂，不是为了反思社会矛盾，更不是为了把自己也异化成怪物——我们只是在给自己、给仍然对这个世界抱有期望的人——寻找一个公正的交待而已。CP:专治各种不服老流氓攻vs又怂又浪富二代受 （骆闻舟X费渡）情敌变情人。注意主角栏年上=w=15号开始连载，更新时间为每天中午11：00，断更请假感谢微博上的Conight做的封面=w=7月11日、第二十六章开始VIP，独家发表，请转载的诸位尽快撤文，感谢支持正版~
